idf,word
10.7290239211,大埔
10.4868838691,大涌
10.3912479034,勒流镇
10.2745512339,鲤城
10.2630237288,大旺
10.251627594,黄田
10.1752962758,伦教
10.1468338112,大塘
10.1392098861,岗顶
10.0110727632,东坑
9.96749288251,平洲
9.92369025985,斗门区
9.91151972423,开往
9.8265265114,平南
9.74477586138,泽国
9.72617853757,镇长
9.72116599574,吉大
9.69322662705,番禺市
9.64574935646,大沥
9.60042437805,大溪
9.5886768127,村委
9.56701531591,镇内
9.30795320084,东升镇
9.26479655777,大朗
9.07755926074,镇区
9.06970924224,大石
9.06192036686,大良
8.96739419337,镇上
8.90727719749,海沧区
8.77466942181,大浪
8.71138492078,岗区
8.42461401012,樟木
8.41238282706,路车
8.28767003314,大岭
7.98892065405,开平
7.78747303063,平湖
