idf,word
12.1291116044,独山县
12.0576526404,甘谷县
12.0237510887,五台县
11.9437083811,文县
11.9134030316,周至县
11.8276362098,隆阳区
11.8006075374,铜仁地区
11.7613868243,大魏
11.6872788521,蓬溪县
11.6872788521,后旗
11.6521875323,平坝
11.6294592812,呼图壁县
11.5963070739,大悟
11.5854961578,田阳县
11.5537474595,盘山县
11.5537474595,丰镇市
11.5433846725,开鲁县
11.512925465,平泉
11.4359644238,蒲城县
11.4267477687,万荣县
11.4085654496,达县
11.3559217162,黑蜂
11.3306039082,寿宁县
11.3306039082,焉耆
11.3223051054,溆浦县
11.3140746062,江陵县
11.3059112956,陇东
11.2978140854,彰武
11.281813744,松辽平原
11.266065387,奈曼旗
11.2505612005,后山
11.2505612005,忻府区
11.220255851,大庙
11.1981147251,西岭雪山
11.1908419658,镇远
11.1622685934,万安县
11.1276630642,大竹
11.1208833772,通城县
11.1074603569,陇上
11.0811430485,临泉县
11.0811430485,平罗
11.074670534,公伯峡
11.0682396437,黄淮
11.0618498456,黔南州
11.0555006179,镜泊湖
11.0304993157,赞皇
11.0304993157,嘉鱼
11.0182292231,崇阳
11.0061078626,屏南县
10.9822972139,平朔
10.9822972139,黔西南州
10.9648040565,海勃湾区
10.9590403517,宁化县
10.9476116559,准格尔
10.9363121007,香厂
10.9307098451,奉节
10.8977398259,东宁县
10.8869870341,全椒县
10.8763486359,万年县
10.8606002789,三江平原
10.8502374919,汤池
10.8399809917,平定
10.8098279536,版纳
10.8048896719,平凉
10.7999756571,武宁县
10.7902194822,崇义
10.7521196359,永修县
10.7428172433,五大连池
10.7428172433,嘉禾县
10.7428172433,都匀市
10.7154182691,关镇
10.7109238795,大寨
10.7064495991,弋阳县
10.7019952488,涟源市
10.6975606517,宁东
10.6975606517,奉新
10.6670571974,醋业
10.6627745356,南城县
10.612764115,育林
10.6006427545,林源
10.5768321058,松滋市
10.538365825,洪泽湖
10.5308469926,桃江
10.5122935847,镇宁
10.5086238558,舒城
10.4691214128,平果
10.4656064707,林芝
10.4586134352,桦甸市
10.4586134352,开原
10.4413418487,钦州港
10.4379230419,黑山
10.4076686336,平乐
10.3783027388,镇乡
10.3750924631,木材厂
10.3623534374,开县
10.3529045482,小水电
10.3373521352,中东部
10.2891500333,大湖
10.2716568759,沂蒙山
10.2601624965,凉山州
10.2018935884,崇左
10.1779243982,林中
10.1596709579,大邑
10.1545163073,泛珠三角
10.149388091,平均海拔
10.1291342341,大邑县
10.1043804949,铝土矿
10.0898171307,多哥
10.0826142184,黑土
10.0778409397,大足
10.0754628173,陇西
10.0404534076,小兴安岭
10.0404534076,陇南
10.0088480682,崇州
9.99560284144,漓江
9.96749288251,鸡西
9.96749288251,黄梅
9.95267779673,黑河
9.92983152788,行政村
9.88172606075,剩余劳动力
9.85469738837,开化
9.837699812,衡山
9.82467637211,松花江畔
9.80454760468,仁怀市
9.79912753721,多省
9.72116599574,大龙
9.65506619404,赵海英
9.48873239752,大化
9.41982759684,平潭
9.40271226462,闽南地区
9.35536614403,武汉东湖高新技术开发区
9.30135977036,大省
9.2926356147,西双版纳
9.27861921273,益民
9.22748653081,贵港
9.19446702282,中南部
9.19151861774,大山
9.02552193498,石材网
8.99361738846,林产
8.84708711268,周边国家
8.84708711268,大理
8.81223561827,雪峰
8.7586280127,林海
8.05031945518,益阳
