idf,word
13.1223633774,岗埠
12.822258785,草金
12.5917351263,桔洲
12.5627475895,崇寿
12.5345767125,深莞线
12.4805094912,万安镇
12.4545340048,大勘
12.4545340048,师宗县
12.4045235843,汤家
12.3804260327,大堡
12.3804260327,镇双
12.3568955353,肇州县
12.333906017,河东岸
12.3114331612,镇库
12.3114331612,陇县
12.2679480492,镇绩
12.2468946401,宜良县
12.2468946401,镇璜
12.2262753528,芜湖路
12.2262753528,镇沙
12.2262753528,镇梅
12.2060726455,独流
12.2060726455,镇庙
12.2060726455,镇家
12.2060726455,互市
12.1862700182,迁改
12.1668519324,镇料
12.1668519324,镇宝
12.1478037374,南溪县
12.1291116044,岗路
12.1107624657,镇省
12.1107624657,镇原
12.1107624657,弥敦道
12.1107624657,魏善庄
12.0927439602,秣陵
12.0927439602,镇马
12.0750443831,宁兰
12.0750443831,颍河
12.0576526404,抚顺县
12.0405582071,斑驳
12.0405582071,岗子
12.0405582071,镇镇
12.0405582071,镇秀
12.0237510887,东坪
12.0237510887,平峦
12.0072217868,大堰
12.0072217868,务庄
12.0072217868,汤庄
12.0072217868,东吕
12.0072217868,镇桥
11.9909612659,雪路
11.9909612659,雪村
11.9909612659,大罗
11.9749609246,吕四港
11.9749609246,樟村
11.9592125676,谌家矶
11.9592125676,大汾
11.9437083811,广汕路
11.9437083811,永定门
11.9284409089,开江
11.9284409089,镇白
11.9284409089,镇鑫
11.9284409089,东洲区
11.9284409089,德令哈
11.9284409089,鸡山
11.9134030316,岗镇
11.8985879458,观光区
11.8985879458,镇路
11.8985879458,崇贤
11.8985879458,镇及
11.8839891464,九眼桥
11.8696004089,查桥
11.8696004089,镇范湖
11.8696004089,鸡鸣
11.8554157739,六村堡
11.8414295319,崇川
11.8276362098,镇富
11.8140305578,邢家湾
11.8006075374,平圩
11.8006075374,朱枫
11.8006075374,宁围
11.8006075374,东瀚园
11.7873623107,临渭区
11.7873623107,沈阳站
11.7873623107,建富
11.7873623107,汇川区
11.7613868243,子镇
11.7613868243,掉头
11.7486477985,大站
11.7486477985,亿纬仲恺
11.7360690163,南阳盆地
11.7360690163,平桂
11.7360690163,镇头
11.7236464963,大围
11.7236464963,大坡
11.7236464963,镇立
11.7236464963,镇兴
11.7113764037,鲤南
11.7113764037,林前
11.6992550432,镇黎光
11.6992550432,镇巴
11.6992550432,平东
11.6992550432,镇凤
11.6754443945,镇石
11.6754443945,镇市
11.6754443945,朱桥
11.6754443945,南嘉线
11.6754443945,大鱼
11.6637483547,草塔
11.6637483547,鳌峰
11.6521875323,大郊
11.6521875323,大团
11.6521875323,平庄
11.6521875323,坐路车
11.6521875323,为栋
11.6521875323,邵逸夫
11.6182859806,镇义
11.6182859806,镇定
11.6182859806,大布
11.6182859806,城建局
11.6182859806,平潮
11.5963070739,防护林
11.5963070739,镇之称
11.5854961578,杰翔
11.5748008687,龙归镇
11.5642187594,岗村
11.5642187594,镇府
11.5642187594,樟洋
11.5642187594,东周
11.5537474595,镇下
11.5537474595,千祥镇
11.5537474595,朱庄
11.5433846725,嵩屿
11.5433846725,书圣
11.5433846725,离京
11.5331281723,贾汪
11.5331281723,丹徒
11.5229758008,期号
11.5229758008,净水厂
11.512925465,崇安
11.5029751341,城郊乡
11.4931228377,焦晋
11.4931228377,骏逸
11.4931228377,丹巴
11.4931228377,伊顿公
11.4833666627,九玺
11.4641353008,城在
11.4641353008,簇拥
11.4641353008,深莞惠
11.4546565568,五百米
11.4546565568,大册
11.4546565568,为界
11.4546565568,南水
11.4546565568,大场
11.4546565568,南夏墅
11.4452668165,华舍
11.4359644238,几十亩
11.4359644238,嘉湖
11.4267477687,朱台
11.4267477687,镇塘
11.4176152852,开间
11.4176152852,镇隆
11.4176152852,渔湖
11.4085654496,黄桷
11.4085654496,陇镇
11.4085654496,和平街
11.3995967797,华顶
11.3995967797,嘉苏
11.3995967797,林口
11.3818972026,登云
11.3645054599,余新镇
11.3559217162,大市
11.3474110265,城市防洪
11.3474110265,工商学院
11.3389721578,西柳镇
11.3389721578,朝晖路
11.3306039082,平壤
11.3306039082,朱线
11.3223051054,桔园
11.3223051054,比华利
11.3140746062,镇中
11.3140746062,喜玛拉雅
11.3059112956,贵屿
11.2978140854,板芙
11.2978140854,林西
11.2978140854,邓州
11.2978140854,衡南
11.281813744,百花园
11.281813744,元大都
11.281813744,附海镇
11.2739085645,百花山
11.266065387,大武
11.266065387,鳌江
11.266065387,桂南
11.2582832466,离家
11.2582832466,平水
11.2428983278,嘉茂
11.2352937284,开坛
11.2352937284,江浦路
11.2277465227,大集
11.2277465227,三十亩
11.2054407652,镇后
11.2054407652,齐河县
11.1981147251,建政
11.1981147251,窖口
11.1908419658,与京
11.1836217178,瀛洲
11.1836217178,长城站
11.1836217178,宁绍
11.1836217178,世外
11.1764532283,杨树浦
11.1764532283,镇里
11.1622685934,柯城
11.1622685934,朱泾
11.1622685934,嘉福
11.1552510207,凤凰古城
11.1482823514,西萨塔
11.1413619085,玉树藏族自治州
11.1344890292,百余公里
11.1344890292,华罗庚
11.1276630642,大获
11.1276630642,大义
11.1276630642,朱路
11.1208833772,镇星
